"Thème","Question","Réponse Structurée","Points Clés"
"Fondamentaux ML","Expliquez la différence entre biais et variance. Comment les réduire ?","Biais : Erreur due à une modélisation trop simple (underfitting). Variance : Sensibilité aux variations des données (overfitting). Réduction : Plus de données, régularisation (L1/L2), cross-validation, feature engineering, ensembles (bagging/boosting).","Trade-off biais-variance, généralisation, complexité du modèle."
"","Quand utiliser un Random Forest plutôt qu’un Gradient Boosting ?","Random Forest : Robuste, parallèle, peu de tuning, bon pour données bruitées. Gradient Boosting : Meilleure précision (si bien tuné), mais sensible au bruit et plus lent. Utiliser RF pour rapidité/interprétabilité, GB pour performance maximale.","Interprétabilité, temps d’entraînement, sensibilité au bruit."
"","Comment choisissez-vous entre un modèle paramétrique et non paramétrique ?","Paramétrique (régression linéaire) : Données structurées, peu de features, besoin d’interprétabilité. Non paramétrique (k-NN, SVM, arbres) : Données complexes, non linéaires, beaucoup de features.","Flexibilité, risque d’overfitting, scalabilité."
"","Qu’est-ce que le surapprentissage ? Comment le prévenir ?","Surapprentissage : Modèle trop complexe, performant en training mais pas en test. Prévention : Régularisation, early stopping, pruning (arbres), plus de données, cross-validation.","Généralisation, complexité, validation."
"","Comment gérez-vous les données manquantes ou déséquilibrées ?","Manquantes : Imputation (moyenne/médiane), suppression, modèles (KNN, MICE). Déséquilibrées : Resampling (SMOTE, ADASYN), class weighting, métriques adaptées (F1, AUC-ROC), focal loss.","Qualité des données, biais algorithmique, métriques."
"Conception Systèmes ML","Comment concevriez-vous un système de recommandation pour Netflix ?","1. Collecte : Logs utilisateurs (clics, temps de visionnage). 2. Stockage : Data Lake (S3) + Feature Store (Feast). 3. Modélisation : Collaborative filtering (ALS) + deep learning (embeddings). 4. Serving : API (FastAPI) + caching (Redis). 5. Monitoring : A/B testing, drift detection (Evidently).","Scalabilité, personnalisation, latence, feedback loop."
"","Quels sont les défis du déploiement d’un modèle en production ?","Déploiement : Versionnage, rollback, A/B testing. Monitoring : Performance, drift, latence. Maintenance : Retraining, feedback loop, scalabilité.","Fiabilité, observabilité, automatisation, CI/CD."
"Traitement Données","Comment optimisez-vous un pipeline Spark pour réduire les coûts ?","Partitionnement : Taille optimale (128Mo-1Go). Caching : Réutilisation des DataFrames. Broadcast Join : Pour les petites tables. Tuning : spark.executor.memory, parallelism, Dynamic Resource Allocation.","Performance, coût, mémoire, parallélisme."
"","Quelles techniques utilisez-vous pour la sélection de features ?","Filtres : Chi2, mutual info. Wrapper : RFE, forward/backward selection. Embedded : Lasso, feature importance (arbres). Outils : Scikit-learn, MLlib.","Réduction de dimension, interprétabilité, performance."
"Optimisation Modèles","Quelles métriques utilisez-vous pour évaluer un modèle de classification binaire ?","Précision/Recall : Équilibre faux positifs/négatifs. AUC-ROC : Robuste aux classes déséquilibrées. F1 : Harmonic mean précision/recall. Log Loss : Confiance des prédictions. Business metrics : ROI, coût par erreur.","Adaptation au cas d’usage, trade-offs."
"","Comment optimisez-vous les hyperparamètres d’un modèle ?","Méthodes : Grid search, random search, Bayesian optimization. Outils : Optuna, Hyperopt, MLflow. Bonnes pratiques : Cross-validation, early stopping, logging.","Efficacité, reproductibilité, automatisation."
